DISTRICTCODE,CHILDREN,FEMALE,ELDERLY,FHEAD,FAMILYSIZE,NOELECTRIC,LOWEDU,GROWTH,POVERTY,ILLITERATE,NOTRAINING,DPRONE,RENTED,NOSEWER,TAPWATER,POPULATION,PROVINCE,Sustainability_Index
9416,0.05063467783,0.4889622414,0.01009580549,0.06807071148,4.066237451,0.9709951986,0.42722115250000003,0.01520272725,0.3933,0.516448912,0.949301615,0.9812309035,0.01745962462,0.9376691400999999,0.0,187021,Papua Tengah,0.346260450605
9429,0.09571465495,0.4522408891,0.0,0.00037475017,4.027523318,0.9351265823,0.34087685149999997,0.0133822025,0.3729,0.6609921456,1.0,0.7440456362000001,0.0,0.1586858761,0.0,97012,Papua Tengah,0.350824333975
9435,0.051056117990000004,0.497687789,0.0066450027099999994,0.03288882747,3.316934982,0.8893802252,0.2548255266,0.02341432964,0.42229999999999995,0.6607178136,1.0,0.9534305258000001,0.00089822428,0.5960754508,0.0,48318,Papua Tengah,0.35810245393
9430,0.03256972338,0.4641795448,0.0,0.03953533149,3.771003145,0.9691290675,0.27380627700000004,0.01823391267,0.396,0.42785599929999996,1.0,1.0,0.0,0.520056479,0.0,176687,Papua Tengah,0.382124845055
9433,0.07962810996,0.47637920100000003,0.00917602298,0.10681541319999999,3.437712381,0.8486247355000001,0.30664894270000004,0.02075068082,0.3746,0.5283037985,1.0,1.0,0.02782586395,0.8710970057999999,0.0,107822,Papua Tengah,0.39265214171999996
9411,0.06628171564,0.44825589460000004,0.00437963348,0.013640591090000001,4.223519686,0.8508490922999999,0.4376686454,0.03352662812,0.3601,0.3758974896,1.0,0.9967965277999999,0.00919706521,0.6602941683,0.0,123591,Papua Tengah,0.39976526129
9434,0.08432132262,0.5033625066999999,0.00690448792,0.1469173429,3.478169867,0.963904087,0.4198947316,0.01389105463,0.3036,0.35542001980000004,1.0,0.9818969632,0.0,0.5069584695,0.0,94997,Papua Tengah,0.39984196989
9418,0.03825550765,0.45649806480000005,0.00345101617,0.01446897776,3.654949843,0.8891697819,0.3588269862,0.00800403923,0.3273,0.45499338190000005,1.0,0.9884624694,0.0238818815,0.7686846139,0.0,136576,Papua Tengah,0.401902988405
9431,0.07407485771,0.4662209339,0.00158686499,0.09272649936,3.350560045,0.6107330214000001,0.26409778710000004,0.01432431468,0.3638,0.6096156483,1.0,1.0,0.00673472281,0.5284985113,0.0,47487,Papua Tengah,0.43765638041
9410,0.08797134884,0.4806032321,0.00476142713,0.06922483228,3.354119254,0.680216105,0.2227834914,0.01736343454,0.374,0.4734468905,0.9975064812,1.0,0.09168629158,0.1789594506,0.0,170193,Papua Tengah,0.447322221715
