PROVINCE,FAMILYSIZE,POPULATION,GROWTH,CHILDREN,ELDERLY,FEMALE,Cluster,PCA1,PCA2
Aceh,4.118307549260869,5189466,0.01834131287869565,0.10620612743273444,0.03610084387145146,0.5010176981518899,1,0.19662291944032273,0.2570174838012684
Bali,3.7682010825555556,4246528,0.009620449097777777,0.07607891278539,0.06552454696070768,0.49633236532344466,2,-0.4806597782173724,-0.12292310569515819
Bangka Belitung,3.7272312844285715,1430865,0.021160800145714285,0.08787257091088728,0.038133107753551866,0.48076160647460314,0,0.052775167072437165,-0.3875791809699581
Banten,4.0215954585,12448160,0.01687089351125,0.09938146875236721,0.029552270453262447,0.49028074630731966,0,0.12742995029300103,-0.013345316042156151
Bengkulu,3.8105220132,1934269,0.014726103388000001,0.09119485347000147,0.036137629691706294,0.4900766466622454,0,0.00047746362585494916,-0.153809322662069
DI Yogyakarta,3.3675881621999997,3762167,0.011620476277999999,0.07125731966134755,0.08819529185150622,0.5041123816105967,2,-0.8129409954564023,-0.11453323287371496
DKI Jakarta,3.7152763243333333,10374235,0.009827047123333333,0.08972462134204647,0.0352664544251703,0.4979036796028077,0,-0.20617986457945708,-0.039373231191054014
Gorontalo,4.0218149505000005,1168190,0.016537458058333333,0.09072892090884137,0.04045184249563619,0.4991768539370246,0,-0.015950956644592045,0.043727025148000635
Jambi,3.8439339939090913,3515017,0.01478589975,0.08918691086322224,0.03600485044329342,0.48986692930430925,0,-0.025756752102158685,-0.1683553519694538
Jawa Barat,3.541740005851852,48037827,0.01071996345037037,0.0900331266570139,0.04860405214741527,0.4932336165535621,2,-0.5980469899732374,-0.06488702513686509
Jawa Tengah,3.6337890901714287,34257865,0.006964451126,0.0783516267281603,0.0749317801210374,0.5040922449064398,2,-0.8700948827783958,0.07289582191575023
Jawa Timur,3.5531476586052633,39292972,0.00539234369,0.07275973079844368,0.07081467695530741,0.5064350940134975,2,-1.008096478389114,0.028207680878434796
Kalimantan Barat,4.109693993357142,4932499,0.015186570937142858,0.09765843254413706,0.03910244982862987,0.4909934345039297,0,0.11465025921482874,0.027756461942203308
Kalimantan Selatan,3.5845857328461537,4119794,0.01636526081769231,0.09631421250625723,0.03626232581042362,0.4933544035532648,0,-0.022906494212023863,-0.1139101112549269
Kalimantan Tengah,3.752896658285714,2605274,0.02240988300142857,0.09069581776315472,0.02808315102973053,0.47796364175357636,0,0.17518819137620734,-0.4258356230301915
Kalimantan Timur,3.9434494426,3639252,0.018477879747,0.09701132907832788,0.02598699351607745,0.47567870048424543,0,0.28789932877703195,-0.3211288722807782
Kalimantan Utara,4.2511727068,627255,0.04277029121,0.10478084357492075,0.028484869568772987,0.46911953965020764,1,0.739855157025138,-0.3729432496144521
Kepulauan Riau,3.7192650861428573,2082694,0.014650215922857143,0.09602602986572223,0.02194029595286952,0.4895623104467104,0,0.12203247741142628,-0.17368691553774715
Lampung,3.749557111266667,8289577,0.008875794528666665,0.09361018315339678,0.0456943778469172,0.48743689967729187,0,-0.1294029817196361,-0.11725245477526802
Maluku,4.872410389727272,1744654,0.014253249489999998,0.10858851286817024,0.037923921675927015,0.4957135474502073,1,0.44302523139265465,0.43450741943236326
Maluku Utara,4.5477273136,1209342,0.020529331970000002,0.11000935713247713,0.02980830719915357,0.489781021617907,1,0.5254093447884509,0.21010263790929318
Nusa Tenggara Barat,3.6217742229,4955578,0.014566771323,0.10192079431030626,0.046178023800867,0.5148629226963758,0,-0.17600430161804387,0.3327448257803357
Nusa Tenggara Timur,4.645835487318181,5287302,0.01669412858227273,0.1137186641616669,0.04511565125943246,0.5048715536379993,1,0.3325949158557342,0.5840486766021128
Papua Barat,4.252713371769231,915361,0.020722471193846157,0.10818950050242217,0.01955181259711917,0.4742252318542825,1,0.5986879601631747,-0.166046790643935
Papua Tengah,3.912808598241379,3265202,0.01848401735,0.08098119801969302,0.013223548071836283,0.4741839786688025,0,0.17131882009740843,-0.5696505900231045
Riau,4.048734362833334,6657911,0.023035456571666668,0.10663991449524082,0.025208219945625006,0.486882924155146,1,0.37712969555360615,-0.030797645091367898
Sulawesi Barat,4.2453838804999995,1330961,0.021536456165,0.10267994868697128,0.03794681695157639,0.4980011302099415,1,0.2574272246586201,0.18919424132175167
Sulawesi Selatan,4.1712520404583335,8690294,0.009348463965,0.09479216234999639,0.05602443106982604,0.5113044538522277,0,-0.23042365300720533,0.41353231037769816
Sulawesi Tengah,4.005329906615385,2966325,0.01590098233153846,0.09397252260808411,0.041530976572796814,0.4893798770171889,0,0.061104591058939374,-0.06769947516542252
Sulawesi Tenggara,4.242924882285714,2602389,0.019219666867857144,0.10725238308648191,0.036834109373878654,0.5062334680068995,1,0.23099135007456215,0.37838866064013627
Sulawesi Utara,3.915904622,2461028,0.011224665143333335,0.08497716252958455,0.05743166838756922,0.4898085172723456,0,-0.2089802965512695,-0.11761206892014762
Sumatera Barat,4.086266890526315,5321489,0.012838351560526316,0.10170939968694481,0.0506488715869447,0.5026234587425069,0,-0.015667315115653033,0.293254614695885
Sumatera Selatan,3.9251029797058825,8266983,0.012451633192941175,0.09272804441172693,0.040331115154978406,0.49162551037563906,0,-0.058884483273594655,-0.04661420506827551
Sumatera Utara,4.220104310727273,14262147,0.010566000003030302,0.10431182796501537,0.03782974551158996,0.5009357917335912,0,0.045376175758756805,0.32260590750081203
