PROVINCE,POVERTY,NOELECTRIC,TAPWATER,LOWEDU,ILLITERATE,Sustainability_Index,CHILDREN,ELDERLY,FAMILYSIZE,POPULATION,GROWTH,FEMALE,Cluster
Aceh,0.1724304347826087,0.008184468190869565,0.1761949434443478,0.24655816612608697,0.06613340685826087,0.7349692286682609,0.10620612743273444,0.03610084387145146,4.118307549260869,5189466,0.01834131287869565,0.5010176981518899,1
Bali,0.04766666666666667,0.0015865519055555555,0.46452635541111115,0.3034445479444445,0.09484475402555555,0.818544565405611,0.07607891278539,0.06552454696070768,3.7682010825555556,4246528,0.009620449097777777,0.49633236532344466,2
Bangka Belitung,0.0535,0.008149245637142857,0.04483619030142857,0.38043834297142853,0.05062189945428571,0.7266283525689999,0.08787257091088728,0.038133107753551866,3.7272312844285715,1430865,0.021160800145714285,0.48076160647460314,0
Banten,0.05525,0.0007386630525000001,0.09155613107375,0.3147245536375,0.05496464393,0.746135113969125,0.09938146875236721,0.029552270453262447,4.0215954585,12448160,0.01687089351125,0.49028074630731966,0
Bengkulu,0.16097999999999998,0.020739995334,0.124087073652,0.33034451153,0.05527945412600001,0.7145318208152001,0.09119485347000147,0.036137629691706294,3.8105220132,1934269,0.014726103388000001,0.4900766466622454,0
DI Yogyakarta,0.13704,0.001603816158,0.14862861696,0.24473683866,0.067175058646,0.7415061755645,0.07125731966134755,0.08819529185150622,3.3675881621999997,3762167,0.011620476277999999,0.5041123816105967,2
DKI Jakarta,0.05375,0.0,0.34966917361833333,0.18740045563333332,0.024848721764999998,0.8219714581139167,0.08972462134204647,0.0352664544251703,3.7152763243333333,10374235,0.009827047123333333,0.4979036796028077,0
Gorontalo,0.17735,0.031210080655,0.26044157284999997,0.4312924200166666,0.05271423164833333,0.72004030068925,0.09072892090884137,0.04045184249563619,4.0218149505000005,1168190,0.016537458058333333,0.4991768539370246,0
Jambi,0.08052727272727273,0.020916528928181816,0.20413022382818183,0.32604399530909095,0.0553887966809091,0.7552696383633181,0.08918691086322224,0.03600485044329342,3.8439339939090913,3515017,0.01478589975,0.48986692930430925,0
Jawa Barat,0.09229629629629629,0.0009506708170370371,0.15119004157074073,0.3615777802333333,0.04226859725407407,0.7417820286387408,0.0900331266570139,0.04860405214741527,3.541740005851852,48037827,0.01071996345037037,0.4932336165535621,2
Jawa Tengah,0.12491428571428571,0.0007428986871428571,0.2576999744554286,0.36638761395428576,0.07851012439485715,0.747182468687,0.0783516267281603,0.0749317801210374,3.6337890901714287,34257865,0.006964451126,0.5040922449064398,2
Jawa Timur,0.11625526315789474,0.0007236095531578948,0.18127134088552632,0.36667528525526316,0.09201189905078948,0.7324298896731974,0.07275973079844368,0.07081467695530741,3.5531476586052633,39292972,0.00539234369,0.5064350940134975,2
Kalimantan Barat,0.08167142857142858,0.09074452191571428,0.11988093128071428,0.39172705267142854,0.10027854400214285,0.7075250138005357,0.09765843254413706,0.03910244982862987,4.109693993357142,4932499,0.015186570937142858,0.4909934345039297,0
Kalimantan Selatan,0.05000769230769231,0.009229048197692307,0.3557980678476923,0.3761436915615385,0.05223985162692308,0.790053964759423,0.09631421250625723,0.03626232581042362,3.5845857328461537,4119794,0.01636526081769231,0.4933544035532648,0
Kalimantan Tengah,0.05252857142857143,0.048064061757142854,0.17651234653642858,0.34983828022142854,0.04270632067428571,0.7510493953929285,0.09069581776315472,0.02808315102973053,3.752896658285714,2605274,0.02240988300142857,0.47796364175357636,0
Kalimantan Timur,0.07193999999999999,0.019010412065000003,0.4753648516,0.26794867595,0.049108158467,0.8221303627444501,0.09701132907832788,0.02598699351607745,3.9434494426,3639252,0.018477879747,0.47567870048424543,0
Kalimantan Utara,0.07432000000000001,0.025276539368,0.37463385822,0.27526665422,0.07879553541199999,0.7944661353256,0.10478084357492075,0.028484869568772987,4.2511727068,627255,0.04277029121,0.46911953965020764,1
Kepulauan Riau,0.07552857142857142,0.022006451634285714,0.3285513139071429,0.3079537646,0.05883982616,0.7836313624119999,0.09602602986572223,0.02194029595286952,3.7192650861428573,2082694,0.014650215922857143,0.4895623104467104,0
Lampung,0.13111333333333333,0.013913705159333333,0.03692536116733334,0.3556389735066666,0.06283489682066666,0.7024972506525,0.09361018315339678,0.0456943778469172,3.749557111266667,8289577,0.008875794528666665,0.48743689967729187,0
Maluku,0.21965454545454544,0.13946639949545456,0.15382668896727272,0.2589341627818182,0.049797878997272726,0.6906658879911364,0.10858851286817024,0.037923921675927015,4.872410389727272,1744654,0.014253249489999998,0.4957135474502073,1
Maluku Utara,0.07747,0.084734848718,0.22664966449500001,0.30205970135,0.065431172594,0.7500183320638001,0.11000935713247713,0.02980830719915357,4.5477273136,1209342,0.020529331970000002,0.489781021617907,1
Nusa Tenggara Barat,0.16072999999999998,0.006852893155,0.247460366529,0.32071332411000003,0.134144799023,0.73167377620485,0.10192079431030626,0.046178023800867,3.6217742229,4955578,0.014566771323,0.5148629226963758,0
Nusa Tenggara Timur,0.22515909090909092,0.23154330417954547,0.13089927843818183,0.3825970938863636,0.10997076658318182,0.6384382885085681,0.1137186641616669,0.04511565125943246,4.645835487318181,5287302,0.01669412858227273,0.5048715536379993,1
Papua Barat,0.2866153846153846,0.14728310131076922,0.08586388335923076,0.2533951021307692,0.09122157230461539,0.6500390398597692,0.10818950050242217,0.01955181259711917,4.252713371769231,915361,0.020722471193846157,0.4742252318542825,1
Papua Tengah,0.29164482758620686,0.4477209227465517,0.06808363515275863,0.3205073708586207,0.30091704358965515,0.5433654320381379,0.08098119801969302,0.013223548071836283,3.912808598241379,3265202,0.01848401735,0.4741839786688025,0
Riau,0.09244166666666666,0.03903035085833333,0.045531241088333334,0.2887501454333333,0.053372062445,0.7222493468642499,0.10663991449524082,0.025208219945625006,4.048734362833334,6657911,0.023035456571666668,0.486882924155146,1
Sulawesi Barat,0.10361666666666668,0.05828345631666667,0.11435959551666668,0.376538031,0.11244947733333333,0.70678210159,0.10267994868697128,0.03794681695157639,4.2453838804999995,1330961,0.021536456165,0.4980011302099415,1
Sulawesi Selatan,0.10219583333333333,0.016682966403333332,0.2169435684825,0.3402648916208333,0.11877389380249999,0.7405375526023333,0.09479216234999639,0.05602443106982604,4.1712520404583335,8690294,0.009348463965,0.5113044538522277,0
Sulawesi Tengah,0.14765384615384616,0.054595523052307686,0.1892645996346154,0.36175400466153845,0.0632344852823077,0.7188893879787308,0.09397252260808411,0.041530976572796814,4.005329906615385,2966325,0.01590098233153846,0.4893798770171889,0
Sulawesi Tenggara,0.13594285714285714,0.042091780372142854,0.17630077204857145,0.28719179379285714,0.08418307018142857,0.7303527115962857,0.10725238308648191,0.036834109373878654,4.242924882285714,2602389,0.019219666867857144,0.5062334680068995,1
Sulawesi Utara,0.08856,0.009972217876,0.18476043967533334,0.32238857724,0.027006594699333333,0.7559803685689667,0.08497716252958455,0.05743166838756922,3.915904622,2461028,0.011224665143333335,0.4898085172723456,0
Sumatera Barat,0.068,0.02972095046,0.3028879783273684,0.28039901280526314,0.050737432304210524,0.7845629388070526,0.10170939968694481,0.0506488715869447,4.086266890526315,5321489,0.012838351560526316,0.5026234587425069,0
Sumatera Selatan,0.1341235294117647,0.018737637794117648,0.1526710420935294,0.3707045843764706,0.04708849389764706,0.7238806602952353,0.09272804441172693,0.040331115154978406,3.9251029797058825,8266983,0.012451633192941175,0.49162551037563906,0
Sumatera Utara,0.12485757575757576,0.05354080349121212,0.19326665360454545,0.2393847109866667,0.05705283360030303,0.7460222656073485,0.10431182796501537,0.03782974551158996,4.220104310727273,14262147,0.010566000003030302,0.5009357917335912,0
